DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos Prováveis por Município de residência e Mês 1º Sintoma(s)
Período:2024
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - MG";-;-;-;1;-;-;-;-;-;-;-;-;1
"310010 ABADIA DOS DOURADOS";23;42;23;13;3;-;-;-;-;4;15;5;128
"310020 ABAETE";9;141;200;41;10;2;-;-;-;-;2;1;406
"310030 ABRE CAMPO";14;104;224;126;37;4;2;1;-;1;-;-;513
"310040 ACAIACA";127;342;175;31;1;1;-;-;-;1;8;3;689
"310050 ACUCENA";53;142;245;199;70;-;-;-;-;-;-;2;711
"310060 AGUA BOA";25;194;656;309;76;4;-;-;-;-;2;-;1266
"310070 AGUA COMPRIDA";2;5;29;74;68;15;1;-;-;-;1;2;197
"310080 AGUANIL";50;307;403;85;13;-;-;1;-;-;-;-;859
"310090 AGUAS FORMOSAS";18;88;177;221;144;39;1;-;1;-;10;6;705
"310100 AGUAS VERMELHAS";-;13;25;30;3;1;-;-;-;-;-;3;75
"310110 AIMORES";12;37;135;54;9;3;3;4;-;1;6;-;264
"310120 AIURUOCA";5;24;45;31;31;8;2;2;-;-;-;-;148
"310130 ALAGOA";-;2;4;4;6;1;-;-;-;-;-;1;18
"310140 ALBERTINA";-;4;10;8;13;2;-;-;-;-;-;-;37
"310150 ALEM PARAIBA";699;803;505;211;69;7;3;1;-;1;1;8;2308
"310160 ALFENAS";131;952;3635;4716;1997;224;41;8;5;4;1;3;11717
"310163 ALFREDO VASCONCELOS";3;54;264;208;105;11;3;-;3;-;-;-;651
"310170 ALMENARA";4;45;173;54;27;1;1;-;-;3;-;2;310
"310180 ALPERCATA";42;86;45;21;2;-;-;-;2;-;1;-;199
"310190 ALPINOPOLIS";30;98;286;329;195;33;3;3;-;-;1;-;978
"310200 ALTEROSA";51;144;588;249;112;69;14;2;4;2;1;6;1242
"310205 ALTO CAPARAO";19;17;104;74;24;2;-;-;-;-;-;1;241
"310210 ALTO RIO DOCE";56;109;66;148;65;23;6;-;-;-;-;1;474
"310220 ALVARENGA";10;33;74;22;12;-;-;-;2;1;1;1;156
"310230 ALVINOPOLIS";203;451;361;139;52;10;3;3;2;24;100;25;1373
"310240 ALVORADA DE MINAS";99;259;311;114;28;4;-;-;2;-;4;1;822
"310250 AMPARO DO SERRA";4;7;7;8;6;-;-;-;-;-;-;-;32
"310260 ANDRADAS";53;619;2266;2080;1316;164;3;4;-;2;1;1;6509
"310270 CACHOEIRA DE PAJEU";7;65;201;138;61;12;-;-;-;-;-;-;484
"310280 ANDRELANDIA";16;51;162;219;143;10;2;-;-;3;3;1;610
