"MUNCOD","MUN","Ano","POP"
310010,"ABADIA DOS DOURADOS",2020,6519
310010,"ABADIA DOS DOURADOS",2021,6471
310010,"ABADIA DOS DOURADOS",2022,6424
310010,"ABADIA DOS DOURADOS",2023,6385
310010,"ABADIA DOS DOURADOS",2024,6365
310020,"ABAETE",2020,23244
310020,"ABAETE",2021,23237
310020,"ABAETE",2022,23203
310020,"ABAETE",2023,23181
310020,"ABAETE",2024,23161
310030,"ABRE CAMPO",2020,14160
310030,"ABRE CAMPO",2021,14216
310030,"ABRE CAMPO",2022,14241
310030,"ABRE CAMPO",2023,14278
310030,"ABRE CAMPO",2024,14312
310040,"ACAIACA",2020,4015
310040,"ACAIACA",2021,4013
310040,"ACAIACA",2022,4003
310040,"ACAIACA",2023,3981
310040,"ACAIACA",2024,3997
310050,"ACUCENA",2020,9423
310050,"ACUCENA",2021,9322
310050,"ACUCENA",2022,9204
310050,"ACUCENA",2023,9097
310050,"ACUCENA",2024,8995
310060,"AGUA BOA",2020,13431
310060,"AGUA BOA",2021,13193
310060,"AGUA BOA",2022,12966
310060,"AGUA BOA",2023,12741
310060,"AGUA BOA",2024,12545
310070,"AGUA COMPRIDA",2020,2130
310070,"AGUA COMPRIDA",2021,2138
310070,"AGUA COMPRIDA",2022,2146
310070,"AGUA COMPRIDA",2023,2129
310070,"AGUA COMPRIDA",2024,2165
310080,"AGUANIL",2020,4426
310080,"AGUANIL",2021,4449
310080,"AGUANIL",2022,4458
310080,"AGUANIL",2023,4455
310080,"AGUANIL",2024,4490
310090,"AGUAS FORMOSAS",2020,18928
310090,"AGUAS FORMOSAS",2021,18933
310090,"AGUAS FORMOSAS",2022,18890
310090,"AGUAS FORMOSAS",2023,18863
310090,"AGUAS FORMOSAS",2024,18841
310100,"AGUAS VERMELHAS",2020,14121
310100,"AGUAS VERMELHAS",2021,14221
310100,"AGUAS VERMELHAS",2022,14305
310100,"AGUAS VERMELHAS",2023,14389
310100,"AGUAS VERMELHAS",2024,14486
310110,"AIMORES",2020,26052
310110,"AIMORES",2021,26110
310110,"AIMORES",2022,26133
310110,"AIMORES",2023,26151
310110,"AIMORES",2024,26165
310120,"AIURUOCA",2020,6386
310120,"AIURUOCA",2021,6376
310120,"AIURUOCA",2022,6367
310120,"AIURUOCA",2023,6363
310120,"AIURUOCA",2024,6382
310130,"ALAGOA",2020,2805
310130,"ALAGOA",2021,2811
310130,"ALAGOA",2022,2813
310130,"ALAGOA",2023,2790
310130,"ALAGOA",2024,2816
310140,"ALBERTINA",2020,2998
310140,"ALBERTINA",2021,3009
310140,"ALBERTINA",2022,3009
310140,"ALBERTINA",2023,2989
310140,"ALBERTINA",2024,3023
310150,"ALEM PARAIBA",2020,32437
310150,"ALEM PARAIBA",2021,32148
310150,"ALEM PARAIBA",2022,31844
310150,"ALEM PARAIBA",2023,31571
310150,"ALEM PARAIBA",2024,31333
310160,"ALFENAS",2020,80429
310160,"ALFENAS",2021,80842
310160,"ALFENAS",2022,81171
310160,"ALFENAS",2023,81536
310160,"ALFENAS",2024,81950
310163,"ALFREDO VASCONCELOS",2020,6954
310163,"ALFREDO VASCONCELOS",2021,7028
310163,"ALFREDO VASCONCELOS",2022,7082
310163,"ALFREDO VASCONCELOS",2023,7124
310163,"ALFREDO VASCONCELOS",2024,7184
310170,"ALMENARA",2020,41563
310170,"ALMENARA",2021,41687
310170,"ALMENARA",2022,41751
310170,"ALMENARA",2023,41833
310170,"ALMENARA",2024,41894
310180,"ALPERCATA",2020,7146
310180,"ALPERCATA",2021,7140
310180,"ALPERCATA",2022,7102
310180,"ALPERCATA",2023,7055
310180,"ALPERCATA",2024,7029
310190,"ALPINOPOLIS",2020,18780
310190,"ALPINOPOLIS",2021,18765
310190,"ALPINOPOLIS",2022,18717
310190,"ALPINOPOLIS",2023,18682
310190,"ALPINOPOLIS",2024,18672
310200,"ALTEROSA",2020,14240
310200,"ALTEROSA",2021,14258
310200,"ALTEROSA",2022,14252
310200,"ALTEROSA",2023,14250
310200,"ALTEROSA",2024,14253
310205,"ALTO CAPARAO",2020,5807
310205,"ALTO CAPARAO",2021,5861
310205,"ALTO CAPARAO",2022,5901
