"muni_code","muni_name","data","ano","meses","casos","pop","incidencia"
"310010","ABADIA DOS DOURADOS",2020-01-01,2020,"Jan",0,6519,0
"310020","ABAETE",2020-01-01,2020,"Jan",1,23244,4.3021855102392
"310030","ABRE CAMPO",2020-01-01,2020,"Jan",0,14160,0
"310040","ACAIACA",2020-01-01,2020,"Jan",0,4015,0
"310050","ACUCENA",2020-01-01,2020,"Jan",3,9423,31.8369945877109
"310060","AGUA BOA",2020-01-01,2020,"Jan",0,13431,0
"310070","AGUA COMPRIDA",2020-01-01,2020,"Jan",1,2130,46.9483568075117
"310080","AGUANIL",2020-01-01,2020,"Jan",1,4426,22.5937641211026
"310090","AGUAS FORMOSAS",2020-01-01,2020,"Jan",1,18928,5.28317836010144
"310100","AGUAS VERMELHAS",2020-01-01,2020,"Jan",0,14121,0
"310110","AIMORES",2020-01-01,2020,"Jan",7,26052,26.8693382465838
"310120","AIURUOCA",2020-01-01,2020,"Jan",0,6386,0
"310130","ALAGOA",2020-01-01,2020,"Jan",0,2805,0
"310140","ALBERTINA",2020-01-01,2020,"Jan",0,2998,0
"310150","ALEM PARAIBA",2020-01-01,2020,"Jan",1,32437,3.08289915836853
"310160","ALFENAS",2020-01-01,2020,"Jan",26,80429,32.3266483482326
"310163","ALFREDO VASCONCELOS",2020-01-01,2020,"Jan",1,6954,14.3802128271498
"310170","ALMENARA",2020-01-01,2020,"Jan",6,41563,14.4359165604023
"310180","ALPERCATA",2020-01-01,2020,"Jan",4,7146,55.9753708368318
"310190","ALPINOPOLIS",2020-01-01,2020,"Jan",4,18780,21.2992545260916
"310200","ALTEROSA",2020-01-01,2020,"Jan",2,14240,14.0449438202247
"310205","ALTO CAPARAO",2020-01-01,2020,"Jan",0,5807,0
"310210","ALTO RIO DOCE",2020-01-01,2020,"Jan",0,11388,0
"310220","ALVARENGA",2020-01-01,2020,"Jan",1,4136,24.1779497098646
"310230","ALVINOPOLIS",2020-01-01,2020,"Jan",0,15495,0
"310240","ALVORADA DE MINAS",2020-01-01,2020,"Jan",1,4167,23.9980801535877
"310250","AMPARO DO SERRA",2020-01-01,2020,"Jan",0,4735,0
"310260","ANDRADAS",2020-01-01,2020,"Jan",1,41176,2.42859918399067
"310270","CACHOEIRA DE PAJEU",2020-01-01,2020,"Jan",2,9402,21.2720697723889
"310280","ANDRELANDIA",2020-01-01,2020,"Jan",0,12264,0
"310285","ANGELANDIA",2020-01-01,2020,"Jan",0,8006,0
"310290","ANTONIO CARLOS",2020-01-01,2020,"Jan",1,11353,8.80824451686779
"310300","ANTONIO DIAS",2020-01-01,2020,"Jan",0,9533,0
"310310","ANTONIO PRADO DE MINAS",2020-01-01,2020,"Jan",0,1603,0
"310320","ARACAI",2020-01-01,2020,"Jan",0,2251,0
"310330","ARACITABA",2020-01-01,2020,"Jan",0,2086,0
"310340","ARACUAI",2020-01-01,2020,"Jan",13,36045,36.0660285753919
"310350","ARAGUARI",2020-01-01,2020,"Jan",7,120303,5.81864126414138
"310360","ARANTINA",2020-01-01,2020,"Jan",1,2973,33.6360578540195
"310370","ARAPONGA",2020-01-01,2020,"Jan",0,8245,0
"310375","ARAPORA",2020-01-01,2020,"Jan",1,8145,12.2774708410068
"310380","ARAPUA",2020-01-01,2020,"Jan",0,2711,0
"310390","ARAUJOS",2020-01-01,2020,"Jan",0,9136,0
"310400","ARAXA",2020-01-01,2020,"Jan",4,111100,3.6003600360036
"310410","ARCEBURGO",2020-01-01,2020,"Jan",12,9538,125.812539316419
"310420","ARCOS",2020-01-01,2020,"Jan",2,41676,4.79892504079086
"310430","AREADO",2020-01-01,2020,"Jan",1,14275,7.00525394045534
"310440","ARGIRITA",2020-01-01,2020,"Jan",0,2765,0
"310445","ARICANDUVA",2020-01-01,2020,"Jan",0,4882,0
"310450","ARINOS",2020-01-01,2020,"Jan",0,17863,0
"310460","ASTOLFO DUTRA",2020-01-01,2020,"Jan",17,14299,118.88943282747
"310470","ATALEIA",2020-01-01,2020,"Jan",5,14257,35.0704916882935
"310480","AUGUSTO DE LIMA",2020-01-01,2020,"Jan",0,4749,0
"310490","BAEPENDI",2020-01-01,2020,"Jan",8,18774,42.6121231490359
"310500","BALDIM",2020-01-01,2020,"Jan",1,7808,12.8073770491803
"310510","BAMBUI",2020-01-01,2020,"Jan",3,23916,12.5439036628199
"310520","BANDEIRA",2020-01-01,2020,"Jan",141,4932,2858.88077858881
"310530","BANDEIRA DO SUL",2020-01-01,2020,"Jan",0,5943,0
"310540","BARAO DE COCAIS",2020-01-01,2020,"Jan",12,31348,38.2799540640551
"310550","BARAO DE MONTE ALTO",2020-01-01,2020,"Jan",2,5215,38.3509108341323
"310560","BARBACENA",2020-01-01,2020,"Jan",10,130224,7.67907605356923
"310570","BARRA LONGA",2020-01-01,2020,"Jan",0,5904,0
"310590","BARROSO",2020-01-01,2020,"Jan",6,20495,29.2754330324469
"310600","BELA VISTA DE MINAS",2020-01-01,2020,"Jan",0,10437,0
"310610","BELMIRO BRAGA",2020-01-01,2020,"Jan",0,3370,0
"310620","BELO HORIZONTE",2020-01-01,2020,"Jan",385,2444394,15.7503250294347
"310630","BELO ORIENTE",2020-01-01,2020,"Jan",139,24408,569.485414618158
"310640","BELO VALE",2020-01-01,2020,"Jan",1,8621,11.5995824150331
"310650","BERILO",2020-01-01,2020,"Jan",5,10542,47.4293302978562
"310660","BERTOPOLIS",2020-01-01,2020,"Jan",0,4601,0
"310665","BERIZAL",2020-01-01,2020,"Jan",0,4335,0
"310670","BETIM",2020-01-01,2020,"Jan",20,419685,4.76547887105806
"310680","BIAS FORTES",2020-01-01,2020,"Jan",0,3510,0
"310690","BICAS",2020-01-01,2020,"Jan",0,14298,0
"310700","BIQUINHAS",2020-01-01,2020,"Jan",0,2470,0
